Study Section,Abbreviation,Startdate,Firstname,Lastname,Zipcode,Name,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6,Ad7
BIODATA MANAGEMENT AND ANALYSIS STUDY SECTION,BDMA,2/22/2024,FRANCO,PESTILLI,78712,"PESTILLI, FRANCO, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN,    TX,    78712",,,
BIODATA MANAGEMENT AND ANALYSIS STUDY SECTION,BDMA,10/19/2023,FRANCO,PESTILLI,78712,"PESTILLI, FRANCO, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN,    TX,    78712",,,
"BIOBEHAVIORAL REGULATION, LEARNING AND ETHOLOGY STUDY SECTION",BRLE,10/17/2023,STEVEN M,PHELPS,78712,"PHELPS, STEVEN M, PHD",PROFESSOR,DEPARTMENT OF INTEGRATIVE BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
"LEARNING, MEMORY AND DECISION NEUROSCIENCE STUDY SECTION",LMDN,10/19/2023,JONATHAN THOMAS,PIERCE,78705,"PIERCE, JONATHAN THOMAS, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE,WAGGONER CENTER FOR ALCOHOL,AND ADDICTION RESEARCH,"THE UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,    TX,    78705",
HEALTH PROMOTION IN COMMUNITIES STUDY SECTION,HPC,2/20/2024,MIGUEL,PINEDO,78712,"PINEDO, MIGUEL, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF KINESIOLOGY,AND HEALTH EDUCATION,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
IMAGING PROBES AND CONTRAST AGENTS STUDY SECTION,IPCA,10/12/2023,EMILY L,QUE,78712,"QUE, EMILY L, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
LANGUAGE AND COMMUNICATION STUDY SECTION,LCOM,6/27/2024,DAVID G,QUINTO-POZOS,78712,"QUINTO-POZOS, DAVID G, PHD",PROFESSOR,DEPARTMENT OF LINGUISTICS,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
BIOBEHAVIORAL MEDICINE AND HEALTH OUTCOMES STUDY SECTION,BMHO,6/3/2024,KAVITA,RADHAKRISHNAN,78712,"RADHAKRISHNAN, KAVITA, PHD",ASSOCIATE PROFESSOR,SCHOOL OF NURSING,UNIVERSITY OF TEXAS AUSTIN,"AUSTIN,    TX,    78712",,,
BIOBEHAVIORAL MEDICINE AND HEALTH OUTCOMES STUDY SECTION,BMHO,1/29/2024,KAVITA,RADHAKRISHNAN,78712,"RADHAKRISHNAN, KAVITA, PHD",ASSOCIATE PROFESSOR,SCHOOL OF NURSING,UNIVERSITY OF TEXAS AUSTIN,"AUSTIN,    TX,    78712",,,
BIOBEHAVIORAL MEDICINE AND HEALTH OUTCOMES STUDY SECTION,BMHO,10/3/2023,KAVITA,RADHAKRISHNAN,78712,"RADHAKRISHNAN, KAVITA, PHD",ASSOCIATE PROFESSOR,SCHOOL OF NURSING,UNIVERSITY OF TEXAS AUSTIN,"AUSTIN,    TX,    78712",,,
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,7/16/2024,PAUL J,RATHOUZ,78712,"RATHOUZ, PAUL J, MS, PHD",PROFESSOR,DEPARTMENT OF POPULATION HEALTH,BIOMEDICAL DATA SCIENCE HUB,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,2/12/2024,PAUL J,RATHOUZ,78712,"RATHOUZ, PAUL J, PHD",PROFESSOR,DEPARTMENT OF POPULATION HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
ANALYTICS AND STATISTICS FOR POPULATION RESEARCH PANEL B STUDY SECTION,ASPB,11/14/2023,PAUL J,RATHOUZ,78712,"RATHOUZ, PAUL J, PHD",PROFESSOR,DEPARTMENT OF POPULATION HEALTH,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
ENABLING BIOANALYTICAL AND IMAGING TECHNOLOGIES STUDY SECTION,EBIT,10/5/2023,DEVLEENA,SAMANTA,78712,"SAMANTA, DEVLEENA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,6/20/2024,STEPHANIE KRISTIN,SEIDLITS,78712,"SEIDLITS, STEPHANIE KRISTIN, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,    TX,    78712",,,
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,3/7/2024,STEPHANIE KRISTIN,SEIDLITS,78712,"SEIDLITS, STEPHANIE KRISTIN, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,    TX,    78712",,,
"BIOENGINEERING OF NEUROSCIENCE, VISION AND LOW VISION TECHNOLOGIES STUDY SECTION",BNVT,10/19/2023,STEPHANIE KRISTIN,SEIDLITS,78712,"SEIDLITS, STEPHANIE KRISTIN, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,    TX,    78712",,,
MAXIMIZING INVESTIGATORS' RESEARCH AWARD - E STUDY SECTION,MRAE,6/20/2024,JEANNE CASSTEVENS,STACHOWIAK,78712,"STACHOWIAK, JEANNE CASSTEVENS, PHD",PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,DEPARTMENT OF BIOMEDICAL ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
MAXIMIZING INVESTIGATORS' RESEARCH AWARD - E STUDY SECTION,MRAE,3/5/2024,JEANNE CASSTEVENS,STACHOWIAK,78712,"STACHOWIAK, JEANNE CASSTEVENS, PHD",PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,DEPARTMENT OF BIOMEDICAL ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
MAXIMIZING INVESTIGATORS' RESEARCH AWARD - E STUDY SECTION,MRAE,10/17/2023,JEANNE CASSTEVENS,STACHOWIAK,78712,"STACHOWIAK, JEANNE CASSTEVENS, PHD",PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,DEPARTMENT OF BIOMEDICAL ENGINEERING,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
CLINICAL MANAGEMENT IN GENERAL CARE SETTINGS STUDY SECTION,CMGC,10/16/2023,MARY A,STEINHARDT,78712,"STEINHARDT, MARY A, EDD",PROFESSOR,DEPARTMENT OF KINESIOLOGY AND HEALTH EDUCATION,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
VIRAL DYNAMICS AND TRANSMISSION STUDY SECTION ,VDT,6/20/2024,CHRISTOPHER S,SULLIVAN,78712,"SULLIVAN, CHRISTOPHER S, PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
VIRAL DYNAMICS AND TRANSMISSION STUDY SECTION ,VDT,2/22/2024,CHRISTOPHER S,SULLIVAN,78712,"SULLIVAN, CHRISTOPHER S, PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
VIRAL DYNAMICS AND TRANSMISSION STUDY SECTION ,VDT,10/26/2023,CHRISTOPHER S,SULLIVAN,78712,"SULLIVAN, CHRISTOPHER S, PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
"SOCIAL PSYCHOLOGY, PERSONALITY AND INTERPERSONAL PROCESSES STUDY SECTION",SPIP,10/19/2023,ADELA,TIMMONS,78712,"TIMMONS, ADELA, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHOLOGY,COLLEGE OF LIBERAL ARTS,UNIVERSITY OF TEXAS,"AUSTIN,    TX,    78712",,
MECHANISMS OF CANCER THERAPEUTICS C STUDY SECTION ,MCTC,10/26/2023,STEFANO,TIZIANI,78723,"TIZIANI, STEFANO, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF NUTRITIONAL SCIENCES,DELL PEDIATRIC RESEARCH INSTITUTE,DELL MEDICAL SCHOOL,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78723",
"NEUROLOGICAL, MENTAL AND BEHAVIORAL HEALTH STUDY SECTION",NMBH,5/30/2024,ELLIOT M,TUCKER-DROB,78712,"TUCKER-DROB, ELLIOT M, PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
"NEUROLOGICAL, MENTAL AND BEHAVIORAL HEALTH STUDY SECTION",NMBH,2/21/2024,ELLIOT M,TUCKER-DROB,78712,"TUCKER-DROB, ELLIOT M, PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
"NEUROLOGICAL, MENTAL AND BEHAVIORAL HEALTH STUDY SECTION",NMBH,10/19/2023,ELLIOT M,TUCKER-DROB,78712,"TUCKER-DROB, ELLIOT M, PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
DEVELOPMENT - 1 STUDY SECTION,DEV1,2/14/2023,STEVEN A,VOKES,78712,"VOKES, STEVEN A, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,    TX,    78712",,,
DEVELOPMENT - 1 STUDY SECTION,DEV1,10/20/2022,STEVEN A,VOKES,78712,"VOKES, STEVEN A, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,    TX,    78712",,,
SOCIAL SCIENCES AND POPULATION STUDIES B STUDY SECTION,SSPB,6/13/2024,ABIGAIL MAE,WEITZMAN,78712,"WEITZMAN, ABIGAIL MAE, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF SOCIOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
LIFESTYLE CHANGE AND BEHAVIORAL HEALTH STUDY SECTION,LCBH,2/15/2024,ELIZABETH MARIE,WIDEN,78712,"WIDEN, ELIZABETH MARIE, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF NUTRITIONAL SCIENCES,SCHOOL OF HUMAN ECOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
GENETIC VARIATION AND EVOLUTION STUDY SECTION,GVE,6/17/2024,CLAUS O,WILKE,78712,"WILKE, CLAUS O, PHD",PROFESSOR,DEPARTMENT OF INTEGRATIVE BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
GENETIC VARIATION AND EVOLUTION STUDY SECTION,GVE,2/15/2024,CLAUS O,WILKE,78712,"WILKE, CLAUS O, PHD",PROFESSOR,DEPARTMENT OF INTEGRATIVE BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
GENETIC VARIATION AND EVOLUTION STUDY SECTION,GVE,10/19/2023,CLAUS O,WILKE,78712,"WILKE, CLAUS O, PHD",PROFESSOR,DEPARTMENT OF INTEGRATIVE BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
MOLECULAR GENETICS STUDY SECTION,MG,10/26/2023,KUN,YANG,78712,"YANG, KUN, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMICAL BIOLOGY,AND MEDICINAL CHEMISTRY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,
GENETICS OF HEALTH AND DISEASE STUDY SECTION,GHD,2/26/2024,SONG,YI,78712,"YI, SONG, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BIOINFORMATICS,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,    TX,    78712",,,
MACROMOLECULAR STRUCTURE AND FUNCTION A STUDY SECTION,MSFA,5/29/2024,YAN JESSIE,ZHANG,78712,"ZHANG, YAN JESSIE, PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,"AUSTIN,    TX,    78712",,,
MACROMOLECULAR STRUCTURE AND FUNCTION A STUDY SECTION,MSFA,2/27/2024,YAN JESSIE,ZHANG,78712,"ZHANG, YAN JESSIE, PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,"AUSTIN,    TX,    78712",,,
MACROMOLECULAR STRUCTURE AND FUNCTION A STUDY SECTION,MSFA,10/3/2023,YAN JESSIE,ZHANG,78712,"ZHANG, YAN JESSIE, PHD",PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,"AUSTIN,    TX,    78712",,,
