Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6,Name_original,Lastname,First_and_middle,Firstname,Date_original,Zipcode
ADULT PSYCHOPATHOLOGY AND DISORDERS OF AGING STUDY SECTION,APDA,10/21/2021,"CISLER, JOSHUA M",ASSOCIATE PROFESSOR,DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES,DELL MEDICAL SCHOOL,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78705",,,"CISLER, JOSHUA M, PHD*",CISLER,JOSHUA M,JOSHUA,10/21/21 - 10/22/21,78705
"MOTOR FUNCTION, SPEECH AND REHABILITATION STUDY SECTION",MFSR,2/7/2022,"CIUCCI, MICHELLE RENEE",PROFESSOR,DEPARTMENT OF COMMUNICATION SCIENCES AND DISORDERS,UNIVERSITY OF WISCONSIN MADISON,"MADISON, WI, 53706",,,,"CIUCCI, MICHELLE RENEE, PHD*",CIUCCI,MICHELLE RENEE,MICHELLE,02/07/22 - 02/08/22,53706
NEUROTOXICOLOGY AND ALCOHOL STUDY SECTION,NAL,10/10/2023,"COFRESI, ROBERTO U",ASSISTANT RESEARCH PROFESSOR,DEPARTMENT OF PSYCHOLOGICAL SCIENCES,COLLEGE OF ARTS AND SCIENCE,UNIVERSITY OF MISSOURI,"COLUMBIA,       MO,       65211",,,"COFRESI, ROBERTO  U, PHD",COFRESI,ROBERTO U,ROBERTO,10/10/2023,65211
CELLULAR AND MOLECULAR TECHNOLOGIES STUDY SECTION,CMT,6/22/2021,"CONTRERAS, LYDIA MARIA",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,AND CELL MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CONTRERAS, LYDIA MARIA, PHD*",CONTRERAS,LYDIA MARIA,LYDIA,06/22/21 - 06/23/21,78712
MAXIMIZING INVESTIGATORSâ€™ RESEARCH AWARD B STUDY SECTION,MRAB,11/18/2021,"CONTRERAS, LYDIA MARIA",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,AND CELL MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CONTRERAS, LYDIA MARIA, PHD*",CONTRERAS,LYDIA MARIA,LYDIA,11/18/21 - 11/19/21,78712
PROKARYOTIC CELL AND MOLECULAR BIOLOGY STUDY SECTION,PCMB,2/7/2022,"CONTRERAS, LYDIA MARIA",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMICAL ENGINEERING,AND CELL MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"CONTRERAS, LYDIA MARIA, PHD*",CONTRERAS,LYDIA MARIA,LYDIA,02/07/22 - 02/08/22,78712
BIOBEHAVIORAL MEDICINE AND HEALTH OUTCOMES STUDY SECTION,BMHO,10/3/2022,"CUEVAS, HEATHER",ASSISTANT PROFESSOR,SCHOOL OF NURSING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78728",,,,"CUEVAS, HEATHER,  PHD*",CUEVAS,HEATHER,HEATHER,10/03/22 -,78728
DRUG DISCOVERY AND MECHANISMS OF ANTIMICROBIAL RESISTANCE STUDY SECTION,DDR,7/14/2021,"DAVIES, BRYAN WILLIAM",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"DAVIES, BRYAN WILLIAM, PHD*",DAVIES,BRYAN WILLIAM,BRYAN,07/14/21 - 07/15/21,78712
DRUG DISCOVERY AND MOLECULAR PHARMACOLOGY A STUDY SECTION ,DMPA,11/7/2023,"DAVIES, BRYAN WILLIAM",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"DAVIES, BRYAN  WILLIAM, PHD",DAVIES,BRYAN WILLIAM,BRYAN,11/7/2023,78712
DRUG DISCOVERY AND MOLECULAR PHARMACOLOGY A STUDY SECTION ,DMPA,3/19/2024,"DAVIES, BRYAN WILLIAM",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"DAVIES, BRYAN  WILLIAM, PHD",DAVIES,BRYAN WILLIAM,BRYAN,3/19/2024,78712
DRUG DISCOVERY AND MOLECULAR PHARMACOLOGY A STUDY SECTION ,DMPA,6/20/2024,"DAVIES, BRYAN WILLIAM",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"DAVIES, BRYAN  WILLIAM, PHD",DAVIES,BRYAN WILLIAM,BRYAN,6/20/2024,78712
HEALTH PROMOTION IN COMMUNITIES STUDY SECTION,HPC,6/14/2022,"DAVIS, JAIMIE NICOLE",ASSOCIATE PROFESSOR,DEPARTMENT OF NUTRITIONAL SCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78723",,,"DAVIS, JAIMIE NICOLE,  PHD*",DAVIS,JAIMIE NICOLE,JAIMIE,06/14/22 -,78723
HUMAN STUDIES OF DIABETES AND OBESITY STUDY SECTION,HSDO,10/19/2023,"DAVIS, JAIMIE NICOLE",ASSOCIATE PROFESSOR,DEPARTMENT OF NUTRITIONAL SCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78723",,,"DAVIS, JAIMIE  NICOLE, PHD",DAVIS,JAIMIE NICOLE,JAIMIE,10/19/2023,78723
MUSCULOSKELETAL REHABILITATION SCIENCES STUDY SECTION,MRS,6/17/2021,"DINGWELL, JONATHAN B",PROFESSOR,DEPARTMENT OF KINESIOLOGY,COLLEGE OF HEALTH AND HUMAN DEVELOPMENT,PENNSYLVANIA STATE UNIVERSITY,"UNIVERSITY PARK, PA, 16802",,,"DINGWELL, JONATHAN B, PHD",DINGWELL,JONATHAN B,JONATHAN,06/17/21 - 06/18/21,16802
MUSCULOSKELETAL REHABILITATION SCIENCES STUDY SECTION,MRS,10/21/2021,"DINGWELL, JONATHAN B",PROFESSOR,DEPARTMENT OF KINESIOLOGY,COLLEGE OF HEALTH AND HUMAN DEVELOPMENT,PENNSYLVANIA STATE UNIVERSITY,"UNIVERSITY PARK, PA, 16802",,,"DINGWELL, JONATHAN B, PHD",DINGWELL,JONATHAN B,JONATHAN,10/21/21 - 10/22/21,16802
MUSCULOSKELETAL REHABILITATION SCIENCES STUDY SECTION,MRS,10/19/2023,"DINGWELL, JONATHAN B",PROFESSOR,DEPARTMENT OF KINESIOLOGY,COLLEGE OF HEALTH AND HUMAN DEVELOPMENT,PENNSYLVANIA STATE UNIVERSITY,"UNIVERSITY PARK,       PA,       16802",,,"DINGWELL, JONATHAN  B, PHD",DINGWELL,JONATHAN B,JONATHAN,10/19/2023,16802
MUSCULOSKELETAL REHABILITATION SCIENCES STUDY SECTION,MRS,6/13/2024,"DINGWELL, JONATHAN B",PROFESSOR,DEPARTMENT OF KINESIOLOGY,COLLEGE OF HEALTH AND HUMAN DEVELOPMENT,PENNSYLVANIA STATE UNIVERSITY,"UNIVERSITY PARK,       PA,       16802",,,"DINGWELL, JONATHAN  B, PHD",DINGWELL,JONATHAN B,JONATHAN,6/13/2024,16802
"BIOBEHAVIORAL REGULATION, LEARNING AND ETHOLOGY STUDY SECTION",BRLE,10/6/2022,"DONEGAN, JENNIFER",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHIATRY AND,BEHAVIORAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"DONEGAN, JENNIFER,  PHD*",DONEGAN,JENNIFER,JENNIFER,10/06/22 -,78712
SYNTHETIC AND BIOLOGICAL CHEMISTRY B STUDY SECTION,SBCB,6/17/2021,"DONG, GUANGBIN",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF CHICAGO,"CHICAGO, IL, 60637",,,,"DONG, GUANGBIN, PHD",DONG,GUANGBIN,GUANGBIN,06/17/21 - 06/18/21,60637
SYNTHETIC AND BIOLOGICAL CHEMISTRY B STUDY SECTION,SBCB,10/7/2021,"DONG, GUANGBIN",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF CHICAGO,"CHICAGO, IL, 60637",,,,"DONG, GUANGBIN, PHD",DONG,GUANGBIN,GUANGBIN,10/07/21 - 10/08/21,60637
SYNTHETIC AND BIOLOGICAL CHEMISTRY B STUDY SECTION,SBCB,2/16/2022,"DONG, GUANGBIN",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF CHICAGO,"CHICAGO, IL, 60637",,,,"DONG, GUANGBIN, PHD",DONG,GUANGBIN,GUANGBIN,02/16/22 - 02/17/22,60637
"LEARNING, MEMORY AND DECISION NEUROSCIENCE STUDY SECTION",LMDN,6/15/2023,"DREW, MICHAEL R",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSCIENCE,COLLEGE OF NATURAL SCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"DREW, MICHAEL R,  PHD*",DREW,MICHAEL R,MICHAEL,6/15/2023,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,10/14/2021,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN, TX, 78712",,,,"DUARTE, AUDREY, PHD",DUARTE,AUDREY,AUDREY,10/14/21 - 10/15/21,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,2/3/2022,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN, TX, 78712",,,,"DUARTE, AUDREY, PHD",DUARTE,AUDREY,AUDREY,02/03/22 - 02/04/22,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,6/16/2022,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,,"DUARTE, AUDREY,  PHD",DUARTE,AUDREY,AUDREY,06/16/22 -,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,10/17/2022,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,,"DUARTE, AUDREY,  PHD",DUARTE,AUDREY,AUDREY,10/17/22 -,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,2/9/2023,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,,"DUARTE, AUDREY,  PHD",DUARTE,AUDREY,AUDREY,2/9/2023,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,6/15/2023,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,,"DUARTE, AUDREY,  PHD",DUARTE,AUDREY,AUDREY,6/15/2023,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,10/12/2023,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,       TX,       78712",,,,"DUARTE, AUDREY, PHD",DUARTE,AUDREY,AUDREY,10/12/2023,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,2/20/2024,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,       TX,       78712",,,,"DUARTE, AUDREY, PHD",DUARTE,AUDREY,AUDREY,2/20/2024,78712
HUMAN COMPLEX MENTAL FUNCTION STUDY SECTION,HCMF,6/6/2024,"DUARTE, AUDREY",PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,       TX,       78712",,,,"DUARTE, AUDREY, PHD",DUARTE,AUDREY,AUDREY,6/6/2024,78712
EMERGING IMAGING TECHNOLOGIES IN NEUROSCIENCE STUDY SECTION,EITN,6/17/2021,"DULA, ADRIENNE NICOLE","ASSISTANT PROFESSOR, DEPARTMENT OF NEUROLOGY",COURTESY ASSISTANT PROFESSOR,DEPARTMENT OF DIAGNOSTIC MEDICINE,DELL MEDICAL SCHOOL,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN, TX, 78712",,"DULA, ADRIENNE NICOLE, PHD*",DULA,ADRIENNE NICOLE,ADRIENNE,06/17/21 - 06/18/21,78712
EMERGING IMAGING TECHNOLOGIES IN NEUROSCIENCE STUDY SECTION,EITN,10/19/2023,"DULA, ADRIENNE NICOLE",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY AND DIAGNOSTIC MEDICINE,THE UNIVERSITY OF TEXAS AT AUTIN,DELL MEDICAL SCHOOL,THE UNIVERSITY OF TEXAS AT AUTIN,"AUSTIN,       TX,       78751",,"DULA, ADRIENNE  NICOLE, PHD",DULA,ADRIENNE NICOLE,ADRIENNE,10/19/2023,78751
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,6/24/2021,"EHRLICH, LAUREN ILYSE RICHIE",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"EHRLICH, LAUREN ILYSE RICHIE, PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,06/24/21 - 06/25/21,78712
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,10/28/2021,"EHRLICH, LAUREN ILYSE RICHIE",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"EHRLICH, LAUREN ILYSE RICHIE, PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,10/28/21 - 10/29/21,78712
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,6/23/2022,"EHRLICH, LAUREN ILYSE RICHIE",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,,"EHRLICH, LAUREN ILYSE RICHIE,  PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,06/23/22 -,78712
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,10/27/2022,"EHRLICH, LAUREN ILYSE RICHIE",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,,"EHRLICH, LAUREN ILYSE RICHIE,  PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,10/27/2022,78712
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,3/2/2023,"EHRLICH, LAUREN ILYSE RICHIE",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,,"EHRLICH, LAUREN ILYSE RICHIE,  PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,3/2/2023,78712
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,6/29/2023,"EHRLICH, LAUREN ILYSE RICHIE",ASSOCIATE PROFESSOR,DEPARTMENT OF MOLECULAR BIOSCIENCES,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,THE UNIVERSITY OF TEXAS,"AUSTIN, TX, 78712",,,"EHRLICH, LAUREN ILYSE RICHIE,  PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,6/29/2023,78712
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,10/26/2023,"EHRLICH, LAUREN ILYSE RICHIE","PROFESSOR, L.LEON CAMPBELL, PH.D",DISTINGUISHED PROFESSOR IN MICROBIOLOGY,DEPARTMENT OF MOLECULAR BIOSCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"EHRLICH, LAUREN  ILYSE RICHIE, PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,10/26/2023,78712
CELLULAR AND MOLECULAR IMMUNOLOGY - B STUDY SECTION,CMIB,6/27/2024,"EHRLICH, LAUREN ILYSE RICHIE","PROFESSOR, L.LEON CAMPBELL, PH.D",DISTINGUISHED PROFESSOR IN MICROBIOLOGY,DEPARTMENT OF MOLECULAR BIOSCIENCES,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,"EHRLICH, LAUREN  ILYSE RICHIE, PHD",EHRLICH,LAUREN ILYSE RICHIE,LAUREN,6/27/2024,78712
"GENOMICS, COMPUTATIONAL BIOLOGY AND TECHNOLOGY STUDY SECTION",GCAT,10/21/2021,"ELLINGTON, ANDREW D",PROFESSOR,DEPARTMENT OF BIOCHEMISTRY,INSTITUTE FOR CELLULAR AND MOLECULAR BIOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"ELLINGTON, ANDREW D, PHD*",ELLINGTON,ANDREW D,ANDREW,10/21/21 - 10/22/21,78712
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,2/22/2024,"EMELIANOV, STANISLAV Y",PROFESSOR,DEPARTMENTS OF ELECTRICAL AND COMPUTER,"ENGINEERING, BIOMEDICAL ENGINEERING, AND RADIOLOGY",GEORGIA INSTITUTE OF TECHNOLOGY,EMORY UNIVERSITY SCHOOL OF MEDICINE,"ATLANTA,       GA,       30322",,"EMELIANOV, STANISLAV  Y, PHD",EMELIANOV,STANISLAV Y,STANISLAV,2/22/2024,30322
IMAGING TECHNOLOGY DEVELOPMENT STUDY SECTION,ITD,6/20/2024,"EMELIANOV, STANISLAV Y",PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,GEORGIA INSTITUTE OF TECHNOLOGY,GEORGIA INSTITUTE OF TECHNOLOGY,"ATLANTA,       GA,       30322",,,"EMELIANOV, STANISLAV  Y, PHD",EMELIANOV,STANISLAV Y,STANISLAV,6/20/2024,30322
INSTRUMENTATION AND SYSTEMS DEVELOPMENT STUDY SECTION,ISD,6/11/2024,"FAN, DONGLEI EMMA",PROFESSOR,DEPARTMENT OF MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78759",,,,"FAN, DONGLEI  EMMA, PHD",FAN,DONGLEI EMMA,DONGLEI,6/11/2024,78759
"SOCIAL PSYCHOLOGY, PERSONALITY AND INTERPERSONAL PROCESSES STUDY SECTION",SPIP,6/23/2022,"FINGERMAN, KAREN L",PROFESSOR,DEPARTMENT OF HUMAN DEVELOPMENT &amp; FAMILY SCIENCES,SCHOOL OF HUMAN ECOLOGY,THE UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"FINGERMAN, KAREN L,  PHD*",FINGERMAN,KAREN L,KAREN,06/23/22 -,78712
PROKARYOTIC CELL AND MOLECULAR BIOLOGY STUDY SECTION,PCMB,6/21/2021,"FINKELSTEIN, ILYA J",ASSISTANT PROFESSOR,MOLECULAR BIOSCIENCES,COLLEGE OF NATURAL SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,"FINKELSTEIN, ILYA J, PHD*",FINKELSTEIN,ILYA J,ILYA,06/21/21 - 06/22/21,78712
ANTI-INFECTIVE RESISTANCE AND TARGETS STUDY SECTION ,AIRT,6/27/2024,"FLEEMAN, RENEE",ASSISTANT PROFESSOR,BURNETT SCHOOL OF BIOMEDICAL MEDICINE,UNIVERSITY OF CENTRAL FLORIDA,"ORLANDO,       FL,       32816",,,,"FLEEMAN, RENEE, PHD",FLEEMAN,RENEE,RENEE,6/27/2024,32816
NEUROTOXICOLOGY AND ALCOHOL STUDY SECTION,NAL,6/3/2021,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN, TX, 78712",,,,"FONKEN, LAURA K, PHD*",FONKEN,LAURA K,LAURA,06/03/21 - 06/04/21,78712
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION",BNRS,10/7/2021,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHOLOGY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN, TX, 78712",,,,"FONKEN, LAURA K, PHD*",FONKEN,LAURA K,LAURA,10/07/21 - 10/08/21,78712
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION",BNRS,10/6/2022,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DIVISION OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,"FONKEN, LAURA K,  PHD",FONKEN,LAURA K,LAURA,10/06/22 -,78712
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION",BNRS,2/2/2023,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DIVISION OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,"FONKEN, LAURA K,  PHD",FONKEN,LAURA K,LAURA,2/2/2023,78712
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION",BNRS,6/1/2023,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DIVISION OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS,  AUSTIN","AUSTIN, TX, 78712",,,"FONKEN, LAURA K,  PHD",FONKEN,LAURA K,LAURA,6/1/2023,78712
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION ",BNRS,10/5/2023,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DEPARTMENT OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,       TX,       78712",,,"FONKEN, LAURA  K, PHD",FONKEN,LAURA K,LAURA,10/5/2023,78712
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION ",BNRS,2/1/2024,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DEPARTMENT OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,       TX,       78712",,,"FONKEN, LAURA  K, PHD",FONKEN,LAURA K,LAURA,2/1/2024,78712
"BEHAVIORAL NEUROENDOCRINOLOGY, NEUROIMMUNOLOGY, RHYTHMS, AND SLEEP STUDY SECTION ",BNRS,5/30/2024,"FONKEN, LAURA K",ASSISTANT PROFESSOR,DEPARTMENT OF PHARMACOLOGY AND TOXICOLOGY,COLLEGE OF PHARMACY,"UNIVERSITY OF TEXAS, AUSTIN","AUSTIN,       TX,       78712",,,"FONKEN, LAURA  K, PHD",FONKEN,LAURA K,LAURA,5/30/2024,78712
"BIOBEHAVIORAL REGULATION, LEARNING AND ETHOLOGY STUDY SECTION",BRLE,2/28/2024,"FREEDBERG, MIKE",ASSISTANT PROFESSOR,DEPARTMENT OF KINESIOLOGY AND HEALTH EDUCATION,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,,"FREEDBERG, MIKE, PHD",FREEDBERG,MIKE,MIKE,2/28/2024,78712
CLINICAL NEUROPLASTICITY AND NEUROTRANSMITTERS STUDY SECTION,CNNT,6/22/2023,"GAUDET, ANDREW",ASSISTANT PROFESSOR,DEPARTMENT OF PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"GAUDET, ANDREW,  PHD*",GAUDET,ANDREW,ANDREW,6/22/2023,78712
CLINICAL NEUROPLASTICITY AND NEUROTRANSMITTERS STUDY SECTION,CNNT,6/20/2024,"GAUDET, ANDREW",ASSISTANT PROFESSOR,DEPARTMENT PSYCHOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUTSIN,       TX,       78712",,,,"GAUDET, ANDREW, PHD",GAUDET,ANDREW,ANDREW,6/20/2024,78712
SOCIAL SCIENCES AND POPULATION STUDIES B STUDY SECTION,SSPB,2/17/2022,"GAYDOSH, LAUREN M",ASSISTANT PROFESSOR,DEPARTMENT OF SOCIOLOGY,POPULATION RESEARCH CENTER,CENTER ON AGING AND POPULATION SCIENCES,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,"GAYDOSH, LAUREN M, PHD*",GAYDOSH,LAUREN M,LAUREN,02/17/22 - 02/18/22,78712
"NEUROLOGICAL, AGING AND MUSCULOSKELETAL EPIDEMIOLOGY STUDY SECTION",NAME,10/6/2021,"GONZALES, MITZI MICHELLE",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,BIGGS INSTITUTE,UT HEALTH SAN DIEGO,"SAN ANTONIO, TX, 78229",,,"GONZALES, MITZI MICHELLE, PHD*",GONZALES,MITZI MICHELLE,MITZI,10/06/21 - 10/07/21,78229
SOCIAL SCIENCES AND POPULATION STUDIES A STUDY SECTION,SSPA,6/7/2021,"GOOSBY, BRIDGET J",PROFESSOR,DEPARTMENT OF SOCIOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"GOOSBY, BRIDGET J, PHD",GOOSBY,BRIDGET J,BRIDGET,06/07/21 - 06/08/21,78712
SOCIAL SCIENCES AND POPULATION STUDIES A STUDY SECTION,SSPA,10/5/2021,"GOOSBY, BRIDGET J",PROFESSOR,DEPARTMENT OF SOCIOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN, TX, 78712",,,,"GOOSBY, BRIDGET J, PHD",GOOSBY,BRIDGET J,BRIDGET,10/05/21 - 10/06/21,78712
