Section Name,Section Abbreviation,Date,Zipcode,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,6/27/2024,20892,"GOLDBERGER, ETHAN  LINGHO",EXTRAMURAL SUPPORT ASSISTANT,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,6701 ROCKLEDGE DRIVE,"BETHESDA,       MD,       20892",,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,84112,"BURROWS, CYNTHIA  J",DISTINGUISHED PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF UTAH,"SALT LAKE CITY,       UT,       84112",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,2138,"BALSKUS, EMILY  PATRICIA",PROFESSOR,DEPARTMENT OF CHEMISTRY AND CHEMICAL BIOLOGY,HARVARD UNIVERSITY,"CAMBRIDGE,       MA,       02138",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,97331,"BEAUDRY, CHRISTOPHER  M",PROFESSOR,DEPARTMENT OF CHEMISTRY,OREGON STATE UNIVERSITY,"CORVALLIS,       OR,       97331",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,47405,"BROWN, MICHAEL  KEVIN",PROFESSOR,DEPARTMENT OF CHEMISTRY,INDIANA UNIVERSITY,"BLOOMINGTON,       IN,       47405",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,32611,"BUTCHER, REBECCA  A",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF FLORIDA,"GAINESVILLE,       FL,       32611",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,19041,"CHARKOUDIAN, LOUISE  KARINE",PROFESSOR,DEPARTMENT OF CHEMISTRY,HAVERFORD COLLEGE,"HAVERFORD,       PA,       19041",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,6516,"CRAWFORD, JASON  MICHAEL",PROFESSOR,DEPARTMENT OF CHEMISTRY AND MICROBIAL PATHOGENESIS,"DIRECTOR, YALE INSTITUTE OF",BIOMOLECULAR DESIGN AND DISCOVERY,YALE UNIVERSITY,"WEST HAVEN,       CT,       06516",
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,10003,"DIAO, TIANNING",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,NEW YORK UNIVERSITY,"NEW YORK CITY,       NY,       10003",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,19104,"DMOCHOWSKI, IVAN  JULIAN",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF PENNSYLVANIA,"PHILADELPHIA,       PA,       19104",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,60607,"DRIVER, TOM  G",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF ILLINOIS AT CHICAGO,"CHICAGO,       IL,       60607",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,77843,"GUTIERREZ, OSVALDO",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,TEXAS A&M UNIVERSITY,"COLLEGE STATION,       TX,       77843",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,35487,"HIGGINS, MELANIE  ANN",ASSISTANT PROFESSOR,DEPARTMENT OF BIOLOGICAL SCIENCES,THE UNIVERSITY OF ALABAMA,"TUSCALOOSA,       AL,       35487",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,2139,"JOHNSON, JEREMIAH  ALLEN",PROFESSOR,DEPARTMENT OF CHEMISTRY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"CAMBRIDGE,       MA,       02139",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,7065,"KALYANI, DIPANNITA",PRINCIPAL SCIENTIST,"MERCK AND CO., INC","RAHWAY,       NJ,       07065",,,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,8544,"KNOWLES, ROBERT  R",PROFESSOR,DEPARTMENT OF CHEMISTRY,PRINCETON UNIVERSITY,"PRINCETON,       NJ,       08544",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,46202,"LAULHE, SEBASTIEN",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,INDIANA UNIVERSITY AND PURDUE UNIVERSITY,"INDIANAPOLIS,       IN,       46202",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,76019,"LOVELY, CARL",PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,UNIVERSITY OF TEXAS AT ARLINGTON,"ARLINGTON,       TX,       76019",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,74708,"MILLER, DAVID  C.",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY,OKLAHOMA STATE UNIVERSITY,"STILLWATER,       OK,       74708",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,48109,"NARAYAN, ALISON",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF MICHIGAN,"ANN ARBOR,       MI,       48109",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,30602,"NEWTON, CHRISTOPHER",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF GEORGIA,"ATHENS,       GA,       30602",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,30332,"PERALTA-YAHYA, PAMELA",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,GEORGIA INSTITUTE OF TECHNOLOGY,"ATLANTA,       GA,       30332",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,94158,"SEIPLE, IAN  BASS",ASSOCIATE PROFESSOR,DEPARTMENT OF PHARMACEUTICAL CHEMISTRY,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,"SAN FRANCISCO,       CA,       94158",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,32306,"SMITH, JOEL  MICHAEL",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,FLORIDA STATE UNIVERSITY,"TALLAHASSEE,       FL,       32306",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,53705,"TANG, WEIPING",PROFESSOR,SCHOOL OF PHARMACY,UNIVERSITY OF WISCONSIN-MADISON,"MADISON,       WI,       53705",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,85721,"TOMAT, ELISA",PROFESSOR,DEPARTMENT OF CHEMISTRY,AND BIOCHEMISTRY,UNIVERSITY OF ARIZONA,"TUCSON,       AZ,       85721",,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,94720,"TOSTE, F  DEAN",DISTINGUISHED PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF CALIFORNIA-BERKELEY,"BERKELEY,       CA,       94720",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,37235,"TOWNSEND, STEVEN  D",STEVENSON PROFESSOR OF CHEMISTRY,DEPARTMENT OF CHEMISRTY,VANDERBILT UNIVERSITY,"NASHVILLE,       TN,       37235",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,61801,"WHITE, MARIA  CHRISTINA",PROFESSOR,DEPARTMENT OF CHEMISTRY,"UNIVERSITY OF ILLINOIS, URBANA CHAMPAIGN","URBANA,       IL,       61801",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,92037,"YU, JIN-QUAN",FRANK AND BERTHA HUPP PROFESSOR,DEPARTMENT OF CHEMISTRY,THE SCRIPPS RESEARCH INSTITUTE,"LA JOLLA,       CA,       92037",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,20892,"WANG, SHAN",SCIENTIFIC REVIEW OFFICER,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,3/6/2024,20892,"GOLDBERGER, ETHAN  LINGHO",EXTRAMURAL SUPPORT ASSISTANT,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,6701 ROCKLEDGE DRIVE,"BETHESDA,       MD,       20892",,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,84112,"BURROWS, CYNTHIA  J",DISTINGUISHED PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF UTAH,"SALT LAKE CITY,       UT,       84112",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,47907,"ALTMAN, RYAN  A","PROFESSOR, STEVE AND LEE ANN TAGLIENTI CHAIR IN PHARMACY",BORCH DEPARTMENT OF MEDICINAL CHEMISTRY AND,MOLECULAR PHARMACOLOGY,DEPARTMENT OF CHEMISTRY,PURDUE UNIVERSITY,"WEST LAFAYETTE,       IN,       47907",
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,19041,"CHARKOUDIAN, LOUISE  KARINE",PROFESSOR,DEPARTMENT OF CHEMISTRY,HAVERFORD COLLEGE,"HAVERFORD,       PA,       19041",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,10003,"DIAO, TIANNING",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,NEW YORK UNIVERSITY,"NEW YORK CITY,       NY,       10003",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,19104,"DMOCHOWSKI, IVAN  JULIAN",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF PENNSYLVANIA,"PHILADELPHIA,       PA,       19104",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,60607,"DRIVER, TOM  G",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF ILLINOIS AT CHICAGO,"CHICAGO,       IL,       60607",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,77843,"GUTIERREZ, OSVALDO",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,TEXAS A&M UNIVERSITY,"COLLEGE STATION,       TX,       77843",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,93106,"HAI, YANG",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,UNIVERSITY OF CALIFORNIA,"SANTA BARBARA,       CA,       93106",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,35487,"HIGGINS, MELANIE  ANN",ASSISTANT PROFESSOR,DEPARTMENT OF BIOLOGICAL SCIENCES,THE UNIVERSITY OF ALABAMA,"TUSCALOOSA,       AL,       35487",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,43210,"HIGUITA-CASTRO, NATALIA",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,THE OHIO STATE UNIVERSITY,"COLUMBUS,       OH,       43210",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,8544,"KNOWLES, ROBERT  R",PROFESSOR,DEPARTMENT OF CHEMISTRY,PRINCETON UNIVERSITY,"PRINCETON,       NJ,       08544",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,33199,"KOLISHETTI, NAGESH",ASSISTANT PROFESSOR,DEPARTMENT OF IMMUNOLOGY AND NANO-MEDICINE,AT THE COLLEGE OF MEDICINE,FLORIDA INTERNATIONAL UNIVERSITY,"MIAMI,       FL,       33199",,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,46202,"LAULHE, SEBASTIEN",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY & CHEMICAL BIOLOGY,INDIANA UNIVERSITY-PURDUE UNIVERSITY INDIANAPOLIS,"INDIANAPOLIS,       IN,       46202",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,50010,"LI, JUNQI",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY,IOWA STATE UNIVERSITY,"AMES,       IA,       50010",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,76019,"LOVELY, CARL",PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,UNIVERSITY OF TEXAS AT ARLINGTON,"ARLINGTON,       TX,       76019",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,24061,"LOWELL, ANDREW  N",ASSISTANT PROFESSOR OF CHEMISTRY,DEPARTMENT OF CHEMISTRY,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"BLACKSBURG,       VA,       24061",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,83725,"NAGARAJAN, RAJESH",PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,BOISE STATE UNIVERSITY,"BOISE,       ID,       83725",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,48109,"NARAYAN, ALISON",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF MICHIGAN,"ANN ARBOR,       MI,       48109",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,27599,"NICEWICZ, DAVID  A",PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"CHAPEL HILL,       NC,       27599",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,30332,"PERALTA-YAHYA, PAMELA",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY,GEORGIA INSTITUTE OF TECHNOLOGY,"ATLANTA,       GA,       30332",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,90089,"PRATT, MATTHEW  ROBERT",PROFESSOR,DEPARTMENT OF CHEMISTRY AND BIOLOGICAL SCIENCES,UNIVERSITY OF SOUTHERN CALIFORNIA,"LOS ANGELES,       CA,       90089",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,2215,"QI, JUN",ASSISTANT PROFESSOR,DEPARTMENT OF CANCER BIOLOGY,HARVARD MEDICAL SCHOOL,DANA-FARBER CANCER INSTITUTE,"BOSTON,       MA,       02215",,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,10016,"STOKES, DAVID  L.",PROFESSOR,DEPARTMENT OF BIOCHEMISTRY,& MOLECULAR PHARMACOLOGY,NEW YORK UNIVERSITY,"NEW YORK,       NY,       10016",,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,53705,"TANG, WEIPING",PROFESSOR,SCHOOL OF PHARMACY,UNIVERSITY OF WISCONSIN-MADISON,"MADISON,       WI,       53705",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,60208,"THOMSON, REGAN  JAMES",PROFESSOR,DEPARTMENT OF CHEMISTRY,NORTHWESTERN UNIVERSITY,"EVANSTON,       IL,       60208",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,85721,"TOMAT, ELISA",PROFESSOR,DEPARTMENT OF CHEMISTRY,AND BIOCHEMISTRY,UNIVERSITY OF ARIZONA,"TUCSON,       AZ,       85721",,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,37235,"TOWNSEND, STEVEN  D",STEVENSON PROFESSOR OF CHEMISTRY,DEPARTMENT OF CHEMISRTY,VANDERBILT UNIVERSITY,"NASHVILLE,       TN,       37235",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,15260,"WANG, YIMING",ASSISTANT PROFESSOR,DEPARTMENT OF CHEMISTRY,UNIVERSITY OF PITTSBURGH,"PITTSBURGH,       PA,       15260",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,33458,"WASA, MASAYUKI",ASSOCIATE PROFESSOR,DEPARTMENT OF CHEMISTRY,THE WERTHEIM UF SCRIPPS INSTITUTE,"JUPITER,       FL,       33458",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,20892,"WANG, SHAN",SCIENTIFIC REVIEW OFFICER,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
CHEMICAL SYNTHESIS AND BIOSYNTHESIS STUDY SECTION,CSB,10/26/2023,20892,"COWART, LINETT",LEAD EXTRAMURAL SUPPORT ASSISTANT,CENTER FOR SCIENTIFIC REVIEW,THE NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,94305,"STRAIGHT, AARON  F",PROFESSOR AND CHAIR,DEPARTMENTS OF BIOCHEMISTRY AND,SYSTEMS BIOLOGY,STANFORD UNIVERSITY,"STANFORD,       CA,       94305",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,10065,"ALUSHIN, GREGORY  M",ASSOCIATE PROFESSOR,LABORATORY OF STRUCTURAL BIOPHYSICS,AND MECHANOBIOLOGY,ROCKEFELLER UNIVERSITY,"NEW YORK,       NY,       10065",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,78712,"ALVARADO, JOSE  R",ASSISTANT PROFESSOR,DEPARTMENT OF PHYSICS,UNIVERSITY OF TEXAS AT AUSTIN,"AUSTIN,       TX,       78712",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,84112,"ANDERSEN, JOSHUA  LYON",ASSOCIATE PROFESSOR,DEPARTMENT OF ONCOLOGICAL SCIENCES,HUNTSMAN CANCER INSTITUTE,AT THE UNIVERSITY OF UTAH,"SALT LAKE CITY,       UT,       84112",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,95064,"BHALLA, NEEDHI",PROFESSOR,"DEPARTMENT OF MOLECULAR, CELL, AND",DEVELOPMENTAL BIOLOGY,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","SANTA CRUZ,       CA,       95064",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,70803,"BOHNERT, KENNETH  ADAM",ASSISTANT PROFESSOR,DEPARTMENT OF BIOLOGICAL SCIENCES,LOUISIANA STATE UNIVERSITY,"BATON ROUGE,       LA,       70803",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,92182,"CAPELSON, MAYA",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOLOGY,SAN DIEGO STATE UNIVERSITY,"SAN DIEGO,       CA,       92182",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,75390,"CONACCI-SORRELL, MARALICE",ASSOCIATE PROFESSOR,DEPARTMENT CELL BIOLOGY,UT SOUTHWESTERN MEDICAL CENTER,"DALLAS,       TX,       75390",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,21205,"COPPENS, ISABELLE",PROFESSOR,DEPARTMENT OF MOLECULAR MICROBIOLOGY AND,IMMUNOLOGY,BLOOMBERG SCHOOL OF PUBLIC HEALTH,JOHNS HOPKINS UNIVERSITY,"BALTIMORE,       MD,       21205",
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,2467,"FOLKER, ERIC  S",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOLOGY,BOSTON COLLEGE,"CHESTNUT HILL,       MA,       02467",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,14627,"HERRERA PEREZ, RUTH  MARISOL",ASSISTANT PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,UNIVERSITY OF ROCHESTER,"ROCHESTER,       NY,       14627",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,98195,"HOPPINS, SUZANNE  C",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOCHEMISTRY,UNIVERSITY OF WASHINGTON,"SEATTLE,       WA,       98195",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,2115,"KORY, NORA",ASSISTANT PROFESSOR,DEPARTMENT OF  MOLECULAR METABOLISM,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,"BOSTON,       MA,       02115",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,30602,"LECHTRECK, KARL",PROFESSOR,DEPARTMENT OF CELLULAR BIOLOGY,UNIVERSITY OF GEORGIA,"ATHENS,       GA,       30602",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,23219,"LIU, QINGLIAN",PROFESSOR,DEPARTMENT OF PHYSIOLOGY AND BIOPHYSICS,SCHOOL OF MEDICINE,VIRGINIA COMMONWEALTH UNIVERSITY,"RICHMOND,       VA,       23219",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,27599,"MADDOX, AMY  S",PROFESSOR,DEPARTMENT OF BIOLOGY,UNIVERSITY OF NORTH CAROLINA,"CHAPEL HILL,       NC,       27599",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,10065,"MENON, ANANT  K",PROFESSOR,DEPARTMENT OF BIOCHEMISTRY,WEILL CORNELL MEDICAL COLLEGE,"NEW YORK,       NY,       10065",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,44106,"MU, TINGWEI",ASSOCIATE PROFESSOR,"DEPARTMENTS OF PHYSIOLOGY, BIOPHYSICS, AND",NEUROSCIENCE,SCHOOL OF MEDICINE,CASE WESTERN RESERVE UNIVERSITY,"CLEVELAND,       OH,       44106",
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,92093,"MUROYAMA, ANDREW  D",ASSISTANT PROFESSOR,DEPARTMENT OF CELL AND DEVELOPMENTAL BIOLOGY,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","LA JOLLA,       CA,       92093",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,60612,"NABA, ALEXANDRA",ASSOCIATE PROFESSOR,DEPARTMENT OF PHYSIOLOGY AND BIOPHYSICS,UNIVERSITY OF ILLINOIS AT CHICAGO,"CHICAGO,       IL,       60612",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,30322,"ONO, SHOICHIRO",ASSOCIATE PROFESSOR,DEPARTMENTS OF PATHOLOGY AND,CELL BIOLOGY,EMORY UNIVERSITY,"ATLANTA,       GA,       30322",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,14263,"PRAHLAD, VEENA",PROFESSOR OF ONCOLOGY,DEPARTMENT OF CELL STRESS BIOLOGY,ROSWELL PARK COMPREHENSIVE CANCER CENTER,"BUFFALO,       NY,       14263",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,2139,"SCHWARTZ, THOMAS",PROFESSOR,DEPARTMENT OF BIOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"CAMBRIDGE,       MA,       02139",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,80309,"SHEN, JINGSHI",PROFESSOR,"DEPARTMENT OF MOLECULAR, CELLULAR, AND",DEVELOPMENTAL BIOLOGY,UNIVERSITY OF COLORADO,"BOULDER,       CO,       80309",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,66160,"SLAWSON, CHAD  ERIC",PROFESSOR,DEPARTMENT OF BIOCHEMISTRY,AND MOLECULAR BIOLOGY,UNIVERSITY OF KANSAS MEDICAL SCHOOL,"KANSAS CITY,       KS,       66160",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,26508,"SMITH, DAVID  M",PROFESSOR,DEPARTMENT OF BIOCHEMISTRY,SCHOOL OF MEDICINE,WEST VIRGINIA UNIVERSITY,"MORGANTOWN,       WV,       26508",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,60611,"TROYANOVSKY, SERGEY  M",PROFESSOR,DEPARTMENT OF DERMATOLOGY AND CELL &,DEVELOPMENT BIOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO,       IL,       60611",
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,6520,"VON BLUME, JULIA",ASSOCIATE PROFESSOR,DEPARTMENT OF CELL BIOLOGY,YALE UNIVERSITY,"NEW HAVEN,       CT,       06520",,,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,48109,"WEISMAN, LOIS  S",PROFESSOR,DEPARTMENT OF CELL AND DEVELOPMENTAL BIOLOGY,LIFE SCIENCE INSTITUTE,UNIVERSITY OF MICHIGAN,"ANN ARBOR,       MI,       48109",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,20892,"SMITH, JESSICA",SCIENTIFIC REVIEW OFFICER,CENTER FOR SCIENTIFIC REVIEW,NATIONAL INSTITUTES OF HEALTH,6701 ROCKLEDGE DRIVE,"BETHESDA,       MD,       20892",,
CELL STRUCTURE AND FUNCTION 1 STUDY SECTION,CSF1,6/10/2024,20892,"HENDERSON, MARIAM  ",EXTRAMURAL SUPPORT ASSISTANT,THE CENTER FOR SCIENTIFIC REVIEW,THE NATIONAL INSTITUTES OF HEALTH,"BETHESDA,       MD,       20892",,,
